Follower,Location,Languages
sunfmin,Hangzhou,"Java, Go, Emacs Lisp, Ruby, TypeScript, C, JavaScript, TSQL, CoffeeScript, HTML, Dockerfile, Assembly, C++, CSS, CMake, Thrift, Shell, Python, Objective-C, Makefile"
holin,"Suzhou, China","Go, SCSS, Swift, Ruby, TypeScript, C, JavaScript, message, CoffeeScript, PHP, HTML, C++, CSS, Erlang, Rich Text Format, Shell, Python, Objective-C, Lua, Groovy, Elixir, Batchfile, block"
andrew,"Bristol, UK","CoffeeScript, Racket, Go, HTML, Perl, Ruby, TypeScript, Shell, ApacheConf, CSS, JavaScript"
maxterry,Maine,"HTML, Vim Script, Scala, Dockerfile, Ruby, TypeScript, Shell, Makefile, CSS, JavaScript, Python, C, Erlang"
charlenopires,Amarante | PI | Brazil,"Dart, TeX, Emacs Lisp, HTML, Swift, Elixir, Kotlin, TypeScript, Ruby, Makefile, Shell, CSS, JavaScript, Python, Objective-C, Erlang"
techthumb,New York,"Java, Go, Perl, Swift, Ruby, TypeScript, JavaScript, CoffeeScript, PHP, HTML, Dockerfile, CSS, Roff, Scala, PLpgSQL, Jupyter Notebook, ASP, Shell, Objective-C++, Python, Objective-C, Makefile"
rmoriz,,"Go, Perl, SCSS, Ruby, YAML, Twig, JavaScript, Gherkin, PHP, HTML, Dockerfile, CSS, Roff, HCL, PLpgSQL, Shell, Jinja, PowerShell, Python, SQLPL, Batchfile, Makefile"
lgs,Milan - Italy,"Go, SCSS, Vue, Perl, Svelte, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Dockerfile, C++, CSS, Handlebars, HCL, Solidity, Shell, Jinja, MDX, Python, Yacc, Batchfile, Makefile"
tambet,"Tallinn, Estonia","Go, HTML, Vue, Ruby, Makefile, C++, CSS, JavaScript, C"
cheeaun,Singapore,"Java, HTML, Swift, Starlark, Ruby, TypeScript, Shell, Makefile, CSS, JavaScript, Objective-C"
mikehodgson,"Belleville, ON, Canada","Java, Vue, Ruby, ColdFusion, TypeScript, AGS Script, C, JavaScript, HTML, Assembly, C++, CSS, Roff, Less, Shell, Python, Objective-C, xBase, M, Batchfile, C#, Makefile, Pascal"
